iter	Passed	Remaining
0	59	59396
1	60	30189
2	61	20422
3	62	15529
4	63	12596
5	64	10639
6	65	9247
7	66	8221
8	67	7406
9	68	6759
10	69	6224
11	70	5778
12	71	5399
13	72	5076
14	73	4800
15	74	4554
16	75	4340
17	77	4217
18	78	4048
19	79	3899
20	80	3761
21	81	3629
22	82	3513
23	83	3401
24	84	3299
25	85	3204
26	86	3117
27	87	3035
28	88	2957
29	89	2885
30	90	2818
31	91	2758
32	92	2700
33	93	2647
34	94	2594
35	95	2544
36	95	2498
37	96	2453
38	97	2408
39	98	2367
40	99	2329
41	100	2292
42	101	2261
43	102	2231
44	103	2205
45	105	2179
46	105	2148
47	106	2119
48	107	2091
49	108	2065
50	109	2040
51	110	2017
52	111	1997
53	112	1974
54	113	1952
55	114	1931
56	115	1910
57	116	1890
58	117	1873
59	118	1854
60	119	1837
61	120	1819
62	121	1802
63	122	1784
64	123	1770
65	124	1759
66	125	1745
67	125	1723
68	126	1709
69	127	1695
70	128	1681
71	129	1667
72	130	1651
73	130	1636
74	131	1621
75	132	1606
76	133	1595
77	133	1581
78	134	1568
79	135	1554
80	135	1541
81	136	1530
82	137	1518
83	138	1507
84	138	1493
85	139	1483
86	140	1469
87	140	1458
88	141	1447
89	142	1437
90	142	1427
91	143	1417
92	144	1407
93	145	1398
94	145	1390
95	146	1381
96	147	1372
97	148	1363
98	148	1354
99	149	1345
100	150	1336
101	150	1325
102	151	1316
103	151	1308
104	152	1301
105	153	1293
106	154	1286
107	154	1278
108	155	1271
109	156	1264
110	156	1256
111	157	1249
112	158	1242
113	158	1235
114	159	1228
115	160	1220
116	160	1214
117	161	1208
118	162	1202
119	163	1195
120	163	1189
121	164	1183
122	164	1175
123	165	1169
124	166	1163
125	166	1157
126	167	1151
127	167	1144
128	168	1140
129	169	1136
130	170	1130
131	171	1125
132	171	1120
133	172	1115
134	173	1110
135	173	1105
136	175	1102
137	175	1096
138	176	1092
139	177	1087
140	177	1082
141	178	1077
142	179	1073
143	179	1068
144	180	1064
145	181	1059
146	181	1055
147	182	1051
148	183	1046
149	183	1042
150	184	1038
151	185	1034
152	186	1030
153	186	1026
154	187	1022
155	188	1018
156	188	1014
157	189	1010
158	190	1006
159	190	1002
160	191	998
161	192	994
162	193	991
163	193	987
164	194	984
165	195	980
166	195	976
167	196	973
168	197	969
169	197	966
170	198	963
171	199	959
172	200	956
173	200	953
174	201	950
175	202	947
176	203	944
177	203	941
178	204	938
179	205	934
180	205	930
181	206	927
182	207	925
183	208	922
184	208	919
185	209	916
186	210	914
187	210	911
188	211	908
189	212	905
190	213	902
191	214	900
192	215	901
193	216	899
194	217	896
195	217	893
196	218	891
197	219	888
198	220	886
199	220	883
200	221	880
201	222	878
202	223	875
203	223	873
204	224	870
205	225	868
206	226	866
207	226	863
208	227	860
209	228	858
210	228	855
211	229	853
212	230	850
213	230	848
214	231	845
215	232	843
216	233	841
217	233	838
218	234	836
219	235	833
220	235	831
221	236	829
222	237	826
223	237	824
224	238	821
225	239	819
226	239	817
227	240	815
228	241	813
229	242	811
230	243	810
231	246	815
232	247	813
233	248	812
234	249	811
235	250	809
236	251	808
237	251	806
238	252	804
239	253	801
240	253	799
241	254	797
242	255	795
243	256	793
244	257	792
245	257	790
246	258	788
247	259	786
248	259	784
249	260	781
250	261	779
251	261	777
252	262	775
253	263	773
254	264	771
255	265	770
256	265	768
257	266	766
258	267	764
259	267	762
260	268	760
261	269	758
262	270	756
263	270	754
264	271	752
265	272	750
266	272	748
267	273	747
268	274	745
269	274	743
270	275	741
271	276	739
272	276	737
273	277	735
274	278	733
275	279	732
276	279	730
277	280	728
278	281	727
279	282	725
280	282	723
281	283	721
282	284	719
283	284	718
284	285	716
285	286	714
286	286	712
287	287	711
288	288	709
289	289	708
290	290	706
291	290	704
292	291	703
293	292	701
294	292	700
295	293	698
296	294	696
297	296	698
298	297	696
299	297	695
300	298	693
301	299	692
302	300	690
303	301	689
304	301	688
305	303	687
306	303	686
307	304	684
308	305	682
309	306	681
310	306	679
311	307	678
312	308	676
313	309	675
314	309	673
315	310	672
316	311	670
317	311	668
318	312	667
319	313	666
320	314	664
321	314	663
322	315	661
323	316	659
324	317	658
325	317	657
326	318	655
327	319	654
328	320	652
329	320	651
330	321	649
331	322	648
332	322	646
333	323	645
334	324	644
335	325	642
336	325	641
337	326	639
338	327	638
339	328	636
340	328	635
341	329	633
342	330	632
343	330	630
344	331	629
345	332	627
346	332	626
347	333	625
348	334	623
349	335	622
350	335	620
351	336	619
352	337	617
353	337	616
354	338	615
355	339	614
356	340	612
357	340	611
358	341	610
359	342	608
360	343	607
361	344	606
362	344	605
363	345	603
364	346	602
365	346	601
366	347	599
367	348	598
368	349	596
369	349	595
370	350	594
371	351	592
372	351	591
373	352	590
374	353	588
375	354	587
376	354	586
377	355	585
378	356	583
379	356	582
380	357	580
381	358	579
382	358	578
383	359	576
384	360	575
385	361	574
386	361	573
387	362	571
388	363	570
389	363	569
390	364	567
391	365	566
392	366	565
393	366	564
394	367	562
395	368	561
396	368	560
397	369	558
398	370	557
399	370	556
400	371	555
401	372	553
402	373	552
403	373	551
404	374	550
405	375	548
406	375	547
407	376	546
408	377	545
409	378	544
410	378	543
411	379	541
412	380	540
413	381	539
414	381	538
415	382	537
416	383	535
417	383	534
418	384	533
419	385	532
420	386	531
421	387	530
422	387	529
423	388	527
424	389	527
425	390	525
426	391	524
427	391	523
428	392	522
429	393	521
430	394	520
431	394	519
432	395	517
433	396	516
434	396	515
435	397	514
436	398	513
437	399	512
438	400	511
439	401	510
440	402	510
441	403	509
442	404	508
443	404	507
444	405	505
445	406	504
446	407	503
447	407	502
448	408	501
449	409	500
450	410	499
451	410	498
452	411	497
453	412	495
454	413	494
455	413	493
456	414	492
457	415	491
458	415	490
459	416	488
460	417	487
461	417	486
462	418	485
463	419	484
464	420	483
465	420	482
466	421	480
467	422	479
468	422	478
469	423	477
470	424	476
471	424	475
472	425	474
473	426	473
474	427	472
475	428	471
476	428	470
477	429	469
478	430	468
479	431	467
480	431	466
481	435	467
482	437	467
483	439	468
484	442	470
485	445	470
486	445	469
487	446	468
488	447	467
489	447	466
490	448	464
491	449	463
492	449	462
493	450	461
494	451	460
495	452	459
496	452	458
497	453	457
498	454	456
499	454	454
500	455	454
501	456	453
502	457	452
503	458	451
504	459	449
505	459	448
506	460	447
507	461	446
508	461	445
509	462	444
510	463	443
511	464	442
512	465	441
513	466	440
514	466	439
515	467	438
516	468	437
517	469	436
518	469	435
519	470	434
520	471	433
521	471	432
522	472	431
523	473	430
524	474	428
525	474	427
526	475	426
527	476	425
528	477	424
529	477	423
530	478	422
531	479	421
532	480	420
533	480	419
534	481	418
535	482	417
536	482	416
537	483	415
538	484	414
539	484	413
540	485	411
541	486	410
542	487	409
543	487	408
544	488	407
545	489	406
546	489	405
547	490	404
548	491	403
549	491	402
550	493	401
551	493	400
552	494	399
553	495	398
554	495	397
555	496	396
556	497	395
557	498	394
558	498	393
559	499	392
560	500	391
561	500	390
562	501	389
563	502	388
564	502	387
565	503	386
566	504	385
567	504	384
568	505	382
569	506	381
570	507	380
571	507	379
572	508	378
573	509	377
574	509	376
575	510	375
576	511	374
577	512	373
578	512	372
579	513	371
